,flight,distance
121,DE_EDDF_FI_EFHK,1541.2569462735157
122,DE_EDDF_FR_LFBO,898.6555311856407
123,DE_EDDF_FR_LFLL,545.3237140534595
124,DE_EDDF_FR_LFML,776.2287496306221
125,DE_EDDF_FR_LFMN,716.1458058796085
126,DE_EDDF_FR_LFPG,450.29753594303065
127,DE_EDDF_HK_VHHH,9169.026634559725
128,DE_EDDF_HR_LDDU,1115.3495438907594
129,DE_EDDF_HR_LDSP,931.3854140736439
130,DE_EDDF_HR_LDZA,735.5934880325375
131,DE_EDDF_HU_LHBP,837.1263298546631
132,DE_EDDF_IE_EIDW,1090.0180110801605
133,DE_EDDF_IL_LLBG,2955.3702552240998
134,DE_EDDF_IN_VABB,6575.113571509012
135,DE_EDDF_IN_VIDP,6131.810220624656
136,DE_EDDF_IN_VOBL,7405.9017592371865
137,DE_EDDF_IN_VOMM,7598.599846254976
138,DE_EDDF_IR_OIIE,3781.72000659353
139,DE_EDDF_IS_BIKF,2407.513192422926
140,DE_EDDF_IT_LICC,1489.607799278043
141,DE_EDDF_IT_LIMC,489.6684556514852
142,DE_EDDF_IT_LIME,492.065413413877
143,DE_EDDF_IT_LIMF,541.7241929897846
144,DE_EDDF_IT_LIML,512.8789550456527
145,DE_EDDF_IT_LIPE,644.7848383949283
146,DE_EDDF_IT_LIPX,544.1057631050096
147,DE_EDDF_IT_LIPZ,577.5747692575858
148,DE_EDDF_IT_LIRF,958.0181029046664
149,DE_EDDF_IT_LIRN,1109.9079127014743
150,DE_EDDF_IT_LIRQ,720.2318758340252
151,DE_EDDF_JO_OJAI,3047.110047169189
152,DE_EDDF_JP_RJAA,9389.672509540589
153,DE_EDDF_JP_RJGG,9315.995916416476
154,DE_EDDF_JP_RJTT,9383.77584122994
155,DE_EDDF_KE_HKJK,6300.8044089535215
156,DE_EDDF_KR_RKSI,8564.994191093901
157,DE_EDDF_KW_OKBK,4025.205664012246
158,DE_EDDF_KZ_UACC,4322.184322269797
159,DE_EDDF_LB_OLBA,2841.1231882408056
160,DE_EDDF_LT_EYVI,1245.1359595083086
